ind_tr,ind_pt,ind_ru,ind_fr,ind_it,ind_es
22062,12056,10679,9466,16508,18879
20394,8101,2444,16438,15835,21937
21819,14886,10444,12329,4105,5657
12749,2751,2333,4707,718,13123
16725,11434,15937,9090,15103,4690
18953,2504,1253,5075,20029,881
13717,22182,10483,10669,2678,1013
2839,12521,13114,21928,8577,6407
7672,21513,20512,2852,13345,6511
16268,15298,2360,2982,6066,18818
3126,12404,14905,9062,11964,3911
6756,16791,3630,18173,5481,8699
5247,4284,16135,13839,11341,3463
939,14350,18182,19436,6302,16085
17409,5140,16401,5777,1403,17583
6880,1061,12331,16750,6725,19818
9220,19240,8906,1880,12240,1401
19636,21644,14394,3377,19250,17545
14316,5093,10441,6065,8825,1642
14346,3652,7253,16612,12668,5736
3971,16079,9685,2716,15151,4599
12648,6506,21261,1153,18684,16435
4068,19595,15642,20368,11250,20713
3154,21529,21518,4799,15479,17281
18354,19322,10296,2199,13842,3920
7807,17385,1868,10890,12395,5149
12225,62,3483,1022,18144,20357
2686,11429,1599,17166,11456,11865
17210,1092,22224,18305,9961,13029
12427,9168,15755,17172,621,4584
4498,20084,8560,3907,5051,17837
11114,6281,18562,16891,8935,18139
5488,9060,9108,6154,17748,13862
13625,5859,8282,4847,10161,10656
3737,9185,17785,399,4537,11116
866,21213,19519,8065,8168,7253
13249,4982,6016,16852,15827,15065
18251,16140,16846,11838,12143,20018
13063,5193,12389,1646,18114,11036
3549,8044,20918,1013,15167,2690
19057,21829,18142,5979,15374,13883
11418,7199,12627,8081,17587,3906
12053,1272,10199,9681,9778,18080
5036,3264,20850,9752,7082,20918
11566,13941,14772,10972,12533,18104
18245,3262,14938,4607,16320,17885
3923,22327,16460,4196,9900,15973
9442,429,10870,16198,8059,19650
6523,2100,10110,9530,4061,20279
4236,15951,4138,13167,22006,5757
9364,15164,15249,14256,6018,18684
14705,4341,16574,1674,20502,17942
14663,5117,9212,13934,16145,5365
18733,10941,6099,19120,21424,3033
1664,1714,14345,3265,14312,1096
1704,4424,15712,20602,18859,4477
19521,7033,7028,6854,3573,17587
17941,16246,2924,6272,6522,7849
17357,6928,6867,14847,3754,8594
11621,4106,9504,17334,19759,10665
13539,11088,11215,4454,198,13475
2452,5560,5785,7046,5047,3376
10341,20167,20253,11210,4780,2623
18749,19640,17076,7996,3029,13732
19960,2534,10026,8243,12359,3809
2489,9199,21889,4257,12460,20869
18136,5477,6254,2031,16448,3497
22132,15260,9699,17267,6026,18568
13297,13711,7602,3245,3257,15828
2815,3675,13093,4889,17613,3987
2673,15481,14002,10803,7027,18436
10587,21672,974,19167,11693,17457
1486,8417,19491,6681,6783,2435
414,12334,11455,14908,16694,4942
6257,8228,18406,16387,14700,15632
12034,22003,20511,6338,7476,17401
13416,19057,3255,14100,13273,17156
11660,20381,11075,4465,18779,8439
1607,2072,14796,13886,5086,3083
16922,13513,20530,391,7517,5695
18646,13186,1932,3807,12593,1839
7230,11745,7388,14947,9251,11559
16397,16276,15428,10889,21291,6283
17750,283,6208,5693,16743,15007
18329,16552,15893,19588,7599,11685
4180,22281,11322,15160,11480,19609
19740,6174,7965,4364,20124,12479
14281,14229,20731,19091,11227,1632
8586,6005,19175,7935,8475,13623
7858,16619,21815,4317,21150,19438
19420,19344,18220,22086,2731,3568
9455,8138,19645,390,18222,21686
7221,1430,9884,3452,11962,10244
17700,15022,16207,12344,21706,20000
9743,13379,16472,16614,17502,4198
6061,1100,11825,5913,20765,774
1519,10533,10113,1067,4653,6514
12670,2232,7366,3568,7196,21294
20385,21301,13284,21641,13422,14267
9140,6573,6972,6511,14003,16320
5029,19132,12979,2101,9190,6070
14275,11995,20595,4771,8744,13536
15987,1209,18382,21090,5723,10647
4725,4032,12727,9322,8290,1037
9686,1254,10753,6119,9607,19033
16552,14299,14968,17998,19625,1421
8752,17122,14749,8951,20789,387
11447,7882,17695,12027,13396,8477
16687,11910,782,13583,1502,17354
16998,3162,12934,12154,4151,9689
16567,22001,8440,2287,15913,20491
19499,20751,17558,10031,10675,14936
6634,2671,4572,6464,15416,8589
14519,13280,10038,12689,8839,18862
8692,8732,20577,10770,3021,19894
17991,2552,16795,2504,15652,4751
8635,6000,6302,4742,7604,16824
21694,14996,8824,22150,16180,21464
22116,17716,16159,17034,2055,21786
1981,11175,6538,17740,4799,4505
10746,21153,2417,15725,1258,17244
14476,17482,6385,4552,5986,18110
20686,142,11777,19268,20858,6583
13289,1636,14812,19452,15398,14868
6736,12514,5584,12604,18735,9654
14935,7412,7074,13045,5258,18847
19092,22083,16616,2228,7277,13261
6384,10247,17200,9776,16091,8317
1809,1517,4022,21732,6457,12631
16587,12236,7258,13607,5711,16164
12056,13851,13757,7576,9939,3445
12234,17834,1905,20676,4498,21722
9884,6765,15674,5154,21409,3191
6330,7100,5129,20008,5128,14707
8291,20425,16212,17920,19041,12103
2714,1177,18589,223,10251,8912
18166,21521,897,19093,18763,8727
3384,5877,17522,10519,4804,5346
13509,20004,11984,13534,9556,6432
11064,7146,7540,15782,1849,12654
19466,659,18654,689,16419,3801
8439,10611,19197,22326,4656,18313
14247,3653,20237,5541,7326,16865
13053,19256,11587,20629,4962,9574
11362,19738,19907,11549,7044,15131
9282,16343,5197,14778,6362,4186
17295,11056,18527,16282,19757,18585
5464,1393,6040,6265,3354,21598
438,18965,21749,1051,4994,14931
7788,17137,16349,9546,10646,21896
21364,18135,9909,3821,7733,964
9064,17555,22029,21296,10694,19306
2273,19697,22173,8749,1718,7037
7925,20737,16062,11800,9367,9832
16666,4891,17270,17629,14486,21269
9112,2164,18488,17121,15556,10332
6371,21700,10189,4489,3353,4405
21756,12371,2446,20154,182,1775
8392,7115,6513,4126,3510,5923
9224,15980,7703,8119,8987,10774
15559,1321,13251,22176,6832,7281
2079,21176,21471,14401,22010,12858
10361,3799,8495,12617,13017,5127
6210,15767,10885,973,3393,17550
8479,3466,17548,4556,6488,2523
17037,20400,11227,10126,913,3062
18927,17217,12312,3876,10774,17163
11384,1330,6192,11121,21087,2346
10848,4283,6265,508,5346,6156
21681,8080,13041,11884,252,8888
3151,14810,3892,15209,501,10705
21642,2868,18368,8327,14464,9247
1002,18805,20971,5629,21505,5088
12874,2865,18851,8358,13034,13538
18084,1445,7219,13644,1298,11295
16034,1221,12092,2849,20266,12444
14447,16572,1830,2666,14187,11312
11538,18947,16118,21585,14676,10676
12550,17995,12812,1673,21865,4411
11464,13291,2476,11598,15292,2821
8433,8887,18006,15702,6763,2913
15574,20241,4043,12761,1303,1959
12273,3838,438,15051,14750,10781
2279,36,16319,3353,13457,15276
7939,12813,7275,17143,17797,8272
8680,19305,3520,15077,8045,9040
21159,7779,21691,3238,7935,9130
16370,2561,9455,16032,21985,8268
657,16912,12410,15785,12252,446
8687,10034,8608,4622,16872,8764
11388,1633,1948,1962,10844,7375
14289,9511,10096,11219,4779,14426
22153,17558,13341,10026,4612,10820
6962,16603,13045,20174,16140,13191
18431,13193,2860,12771,18481,10209
1628,12796,9403,964,5387,2961
14218,1303,13954,17110,14998,20991
3119,19528,18069,14047,1183,15981
7992,14233,3002,3705,15203,7054
17280,7408,19985,3380,16390,18705
12079,21998,10535,8637,13520,12222
18708,10650,7180,18005,1801,11106
5645,21333,2918,22303,5531,11869
7789,4955,11863,3345,6570,12321
21817,16201,11252,14643,18635,21213
7278,16881,10651,14770,6380,17849
4261,8780,16990,5457,8094,7854
537,7506,16724,12880,17545,8992
8741,18538,14651,1355,11165,13184
5923,14292,13925,21769,7625,1424
17291,18071,10503,839,17460,762
16330,17245,11643,2772,8017,13990
2291,11873,6406,10918,19899,1549
13317,14423,13749,21250,16495,8929
13314,1290,12132,15418,7596,744
12318,5482,600,3295,2063,10545
4858,16142,5063,336,11777,17274
1621,10699,11345,12338,3028,2223
19948,12337,16325,16798,1106,8177
12068,22013,18801,9449,20082,14736
14376,8060,10914,11405,6285,8027
8802,18548,2341,19859,19630,12385
2703,81,19114,9144,299,10512
18636,17570,8340,16956,5819,6226
8684,22314,12793,21832,4727,14704
4920,14394,10418,2944,14369,13655
18668,7110,6514,1817,20799,8076
4774,22279,17540,21277,16081,6562
6227,19756,20467,13657,8356,17395
6903,16824,2767,16785,17969,16950
5827,14683,4733,10849,13470,7008
20839,8422,13085,22299,16363,20506
3552,13523,2082,14158,4927,11039
3788,13632,13526,4513,19257,5704
7095,16384,4370,5608,18340,1201
17492,911,18958,6739,8100,5304
9244,15571,18026,5003,19813,17137
4578,20721,20361,20909,15056,244
13093,18577,16299,13975,16030,10461
19262,15142,9404,3375,4661,4365
1145,14201,10774,2791,13231,5759
20119,5872,9137,17119,12066,3624
11120,6092,20431,1126,11727,1367
791,1022,14792,5793,10696,702
2327,1014,4328,8324,136,6585
4476,4672,15855,7333,3806,19993
12334,6159,21478,19754,5223,17381
18216,21297,6324,22342,17062,19728
21590,16666,7389,58,11413,4908
2784,21870,7363,6162,21459,6465
10697,583,14788,16343,1186,5299
21111,16602,17185,14116,8216,743
9853,16678,8923,2160,3642,12344
18203,6983,11792,16944,4186,10029
14237,13680,7737,11052,21833,11184
15434,6375,4691,2053,17226,6507
19036,11936,3164,15082,21280,5866
6761,21867,9642,4505,3397,12717
12044,14668,9384,2993,11281,1399
21608,10306,2162,18857,4591,497
17669,2499,572,11844,2999,3374
1160,9366,19608,1499,14072,14099
19435,6709,7645,3473,2012,21936
14048,13539,16678,9101,12720,21818
2411,4164,20983,18285,7494,18397
6343,21939,16904,9750,5535,5475
6835,9889,18687,3417,6957,5963
6723,11324,23,3729,2014,14890
16944,3678,13227,8281,20642,14075
